元の城名,URL,城名,別名,築城年,城主,場所,Latitude,Longitude
十神城,https://gosenzo.net/yamajiro/2022/01/03/%e3%80%90%e5%b3%b6%e6%a0%b9%e7%9c%8c%e3%80%91%e5%8d%81%e7%a5%9e%e5%9f%8e%e3%80%90%e5%ae%89%e6%9d%a5%e5%b8%82%e5%ae%89%e6%9d%a5%e7%94%ba%e5%8d%81%e7%a5%9e%e3%80%91/,十神城,無し,室町時代,松田氏,島根県安来市安来町十神,35.433707,133.260935
富田城,https://gosenzo.net/yamajiro/2022/01/08/%e3%80%90%e5%b3%b6%e6%a0%b9%e7%9c%8c%e3%80%91%e5%af%8c%e7%94%b0%e5%9f%8e%e3%80%90%e5%ae%89%e6%9d%a5%e5%b8%82%e5%ba%83%e7%80%ac%e7%94%ba%e5%af%8c%e7%94%b0%e3%80%91/,富田城（とだじょう）,月山城、月山富田城,室町時代,尼子氏、毛利氏、吉川氏、堀尾氏,島根県安来市広瀬町富田,35.360237,133.186045
藤ヶ瀬城,https://gosenzo.net/yamajiro/2022/01/08/%e3%80%90%e5%b3%b6%e6%a0%b9%e7%9c%8c%e3%80%91%e8%97%a4%e3%83%b6%e7%80%ac%e5%9f%8e%e3%80%90%e4%bb%81%e5%a4%9a%e9%83%a1%e5%a5%a5%e5%87%ba%e9%9b%b2%e7%94%ba%e6%a8%aa%e7%94%b0%e3%80%91/,藤ヶ瀬城,無し,永正6年(1509)に三沢遠江守為忠によって築かれたと伝わる。,三沢氏,島根県仁多郡奥出雲町横田,35.183890,133.090762
槇尾城,https://gosenzo.net/yamajiro/2022/01/08/%e3%80%90%e5%b3%b6%e6%a0%b9%e7%9c%8c%e3%80%91%e6%a7%99%e5%b0%be%e5%9f%8e%e3%80%90%e9%82%91%e6%99%ba%e9%83%a1%e9%82%91%e5%8d%97%e7%94%ba%e7%be%bd%e9%a0%88%e7%be%8e%e5%a4%a7%e5%ad%97%e4%b8%8a%e7%94%b0/,槙尾城,児玉城,南北朝時代,髙橋氏、長田備中守光季、桂元澄、児玉内蔵助,島根県邑智郡羽須美村長田,34.854819,132.678358
幡屋城,https://gosenzo.net/yamajiro/2022/01/08/%e3%80%90%e5%b3%b6%e6%a0%b9%e7%9c%8c%e3%80%91%e5%b9%a1%e5%b1%8b%e5%9f%8e%e3%80%90%e9%82%91%e6%99%ba%e9%83%a1%e9%82%91%e5%8d%97%e7%94%ba%e5%a4%a7%e5%ad%97%e4%b8%8b%e5%8f%a3%e7%be%bd%e3%80%91/,幡屋城,無し,南北朝時代,口羽下野守光慶か、口羽氏,島根県邑智郡邑南町大字下口羽,34.879552,132.655263
要路城,https://gosenzo.net/yamajiro/2022/01/08/%e3%80%90%e5%b3%b6%e6%a0%b9%e7%9c%8c%e3%80%91%e8%a6%81%e8%b7%af%e5%9f%8e%e3%80%90%e9%82%91%e6%99%ba%e9%83%a1%e7%be%8e%e9%83%b7%e7%94%ba%e9%83%bd%e8%b3%80%e8%a5%bf%e3%80%91/,要路城（ようろじょう）,"丁城（よぼろじょう）、用路城,養老城,都賀西城",南北朝時代初期,佐波氏、小笠原氏、高橋氏、毛利氏（口羽氏）,島根県邑智郡美郷町都賀西,34.960287,132.638071
九日市城,https://gosenzo.net/yamajiro/2022/01/09/%e3%80%90%e5%b3%b6%e6%a0%b9%e7%9c%8c%e3%80%91%e4%b9%9d%e6%97%a5%e5%b8%82%e5%9f%8e%e3%80%90%e9%82%91%e6%99%ba%e9%83%a1%e7%be%8e%e9%83%b7%e7%94%ba%e4%b9%9d%e6%97%a5%e5%b8%82%e4%ba%95%e5%85%83%e3%80%91/,九日市城,井元城、沢谷城,室町時代後期,佐波氏、井元氏,島根県邑智郡美郷町九日市井元,35.048316,132.668815
八幡城,https://gosenzo.net/yamajiro/2022/01/09/%e3%80%90%e5%b3%b6%e6%a0%b9%e7%9c%8c%e3%80%91%e5%85%ab%e5%b9%a1%e5%9f%8e%e3%80%90%e9%82%91%e6%99%ba%e9%83%a1%e7%be%8e%e9%83%b7%e7%94%ba%e6%b5%9c%e5%8e%9f%e3%80%91/,八幡城,唐樋山城、獅子ヶ峠城,弘治2年(1556)佐波興連・隆秀父子によって築かれたと伝わる。,佐波興連,島根県邑智郡美郷町浜原,35.058719,132.605144
不言城（福光城）,https://gosenzo.net/yamajiro/2022/01/09/%e3%80%90%e5%b3%b6%e6%a0%b9%e7%9c%8c%e3%80%91%e4%b8%8d%e8%a8%80%e5%9f%8e%e3%80%90%e5%a4%a7%e7%94%b0%e5%b8%82%e6%b8%a9%e6%b3%89%e6%b4%a5%e7%94%ba%e7%a6%8f%e5%85%89%e3%80%91/,不言城（ふげんじょう）,物不言城（ものいわずじょう）、福光城,戦国時代,福光氏、吉川氏,島根県大田市温泉津町福光,35.068323,132.346439
松山城,https://gosenzo.net/yamajiro/2022/01/09/%e3%80%90%e5%b3%b6%e6%a0%b9%e7%9c%8c%e3%80%91%e6%9d%be%e5%b1%b1%e5%9f%8e%e3%80%90%e6%b1%9f%e6%b4%a5%e5%b8%82%e6%9d%be%e5%b7%9d%e7%94%ba%e5%b8%82%e6%9d%91%e3%80%91/,松山城,川上城、河上城,嘉元元年（1303）,"川上氏(中原氏系)、河上氏(佐々木氏系)、川上氏(福屋氏系),小笠原氏",島根県江津市松川町市村,35.001998,132.286469
本明城,https://gosenzo.net/yamajiro/2022/01/10/%e3%80%90%e5%b3%b6%e6%a0%b9%e7%9c%8c%e3%80%91%e6%9c%ac%e6%98%8e%e5%9f%8e%e3%80%90%e6%b1%9f%e6%b4%a5%e5%b8%82%e6%9c%89%e7%a6%8f%e6%b8%a9%e6%b3%89%e6%b4%a5%e7%94%ba%e6%9c%ac%e6%98%8e%e3%80%91/,本明城（ほんみょうじょう）,乙明城、音明城、福屋城,天福2年（1234）,福屋氏,島根県江津市有福温泉津町本明,34.923904,132.211662
伊秩城,https://gosenzo.net/yamajiro/2022/01/10/%e3%80%90%e5%b3%b6%e6%a0%b9%e7%9c%8c%e3%80%91%e4%bc%8a%e7%a7%a9%e5%9f%8e%e3%80%90%e5%87%ba%e9%9b%b2%e5%b8%82%e4%bd%90%e7%94%b0%e7%94%ba%e4%b8%80%e7%aa%aa%e7%94%b0%e3%80%91/,伊秩城,無し,室町時代,伊秩氏、熊谷信直,島根県出雲市佐田町一窪田,35.241009,132.669909
賀田城,https://gosenzo.net/yamajiro/2022/01/10/%e3%80%90%e5%b3%b6%e6%a0%b9%e7%9c%8c%e3%80%91%e8%b3%80%e7%94%b0%e5%9f%8e%e3%80%90%e9%a3%af%e7%9f%b3%e9%83%a1%e9%a3%af%e5%8d%97%e7%94%ba%e4%b8%8b%e6%9d%a5%e5%b3%b6%e3%80%91/,賀田城（かだじょう）,無し,戦国時代,烏田氏（からすだ）,島根県飯石郡飯南町下来島,35.045414,132.728417
丸茂城,https://gosenzo.net/yamajiro/2022/01/10/%e3%80%90%e5%b3%b6%e6%a0%b9%e7%9c%8c%e3%80%91%e4%b8%b8%e8%8c%82%e5%9f%8e%e3%80%90%e7%9b%8a%e7%94%b0%e5%b8%82%e7%be%8e%e9%83%bd%e7%94%ba%e4%b8%b8%e8%8c%82%e3%80%91/,丸茂城（まるもじょう）,無し,鎌倉時代,丸茂氏,島根県益田市美都町丸茂,34.672909,132.003705
景石城、磯部氏館,https://gosenzo.net/yamajiro/2021/01/09/%e3%80%90%e9%b3%a5%e5%8f%96%e7%9c%8c%e3%80%91%e6%99%af%e7%9f%b3%e5%9f%8e%e3%80%81%e7%a3%af%e9%83%a8%e6%b0%8f%e9%a4%a8%e3%80%90%e7%94%a8%e7%80%ac%e7%94%ba%e3%80%91/,景石城,磯部城,南北朝時代,景石氏、用瀬左衛門尉、磯部豊直、山崎家盛,鳥取県鳥取市用瀬町用瀬,35.343973,134.216147
今木山城,https://gosenzo.net/yamajiro/2021/03/14/%e3%80%90%e9%b3%a5%e5%8f%96%e7%9c%8c%e3%80%91%e4%bb%8a%e6%9c%a8%e5%b1%b1%e5%9f%8e%e3%80%90%e9%b3%a5%e5%8f%96%e5%b8%82%e5%9b%bd%e5%ba%9c%e7%94%ba%e6%b3%95%e8%8a%b1%e5%af%ba%e3%80%91/,今木山城,今衣山城,戦国時代か,秋里左馬允によって築城　後に福田氏・菅沼氏・山田氏が在城。,鳥取県鳥取市国府町法花寺,35.467206,134.273647
甑山城,https://gosenzo.net/yamajiro/2021/03/14/%e3%80%90%e9%b3%a5%e5%8f%96%e7%9c%8c%e3%80%91%e7%94%91%e5%b1%b1%e5%9f%8e%e3%80%90%e9%b3%a5%e5%8f%96%e5%b8%82%e5%9b%bd%e5%ba%9c%e7%94%ba%e7%94%ba%e5%b1%8b%e3%80%91/,甑山城,,南北朝時代,山名氏、一時期山中鹿之助が籠もっていた。,鳥取県鳥取市国府町町屋,35.474043,134.279093
奥谷城,https://gosenzo.net/yamajiro/2021/03/14/%e3%80%90%e9%b3%a5%e5%8f%96%e7%9c%8c%e3%80%91%e5%a5%a5%e8%b0%b7%e5%9f%8e%e3%80%90%e9%b3%a5%e5%8f%96%e5%b8%82%e5%9b%bd%e5%ba%9c%e7%94%ba%e5%ae%ae%e4%b8%8b%e3%80%91/,奥谷城,,戦国時代か,不明,鳥取県鳥取市国府町宮下,35.483891,134.270074
徳吉城,https://gosenzo.net/yamajiro/2021/03/20/%e3%80%90%e9%b3%a5%e5%8f%96%e7%9c%8c%e3%80%91%e5%be%b3%e5%90%89%e5%9f%8e%e3%80%90%e9%b3%a5%e5%8f%96%e5%b8%82%e5%be%b3%e5%90%89%e3%80%91/,徳吉城,無し,永禄年間（1558～70）,徳吉将監,鳥取県鳥取市徳吉,35.501466,134.202302
布施天神山城,https://gosenzo.net/yamajiro/2021/03/20/%e3%80%90%e9%b3%a5%e5%8f%96%e7%9c%8c%e3%80%91%e5%b8%83%e5%8b%a2%e5%a4%a9%e7%a5%9e%e5%b1%b1%e5%9f%8e%e3%80%90%e9%b3%a5%e5%8f%96%e5%b8%82%e6%b9%96%e5%b1%b1%e7%94%ba%e5%8d%97%e7%94%ba%e3%80%91/,布勢天神山城,布施天神山城、天神山城、布施城,永正10年（1513）か　　因幡志では文正元年（1466）山名勝豊によって築城とされている。,山名氏,鳥取県鳥取市湖山南町,35.509527,134.176445
鍋山城,https://gosenzo.net/yamajiro/2021/03/20/%e3%80%90%e9%b3%a5%e5%8f%96%e7%9c%8c%e3%80%91%e9%8d%8b%e5%b1%b1%e5%9f%8e%e3%80%90%e9%b3%a5%e5%8f%96%e5%b8%82%e5%a4%a7%e6%ba%80%e3%80%91/,鍋山城,,戦国時代か,山名氏,鳥取県鳥取市大満,35.494534,134.182495
山王社裏山城,https://gosenzo.net/yamajiro/2021/03/20/%e3%80%90%e9%b3%a5%e5%8f%96%e7%9c%8c%e3%80%91%e5%b1%b1%e7%8e%8b%e7%a4%be%e8%a3%8f%e5%b1%b1%e5%9f%8e%e3%80%90%e9%b3%a5%e5%8f%96%e5%b8%82%e5%b8%83%e5%8b%a2%e3%80%91/,山王社裏山城,,戦国時代か,森下氏、正木氏、某朝日氏,鳥取県鳥取市布勢,35.504243,134.175907
裏山城,https://gosenzo.net/yamajiro/2021/03/21/%e3%80%90%e9%b3%a5%e5%8f%96%e7%9c%8c%e3%80%91%e8%a3%8f%e5%b1%b1%e5%9f%8e%e3%80%90%e9%b3%a5%e5%8f%96%e5%b8%82%e6%b9%96%e5%b1%b1%e5%8d%97%e7%94%ba%e3%80%91/,裏山城,,戦国時代か,山名氏関係,鳥取県鳥取市湖山南町,35.512860,134.179132
北尾山城,https://gosenzo.net/yamajiro/2021/03/28/%e3%80%90%e9%b3%a5%e5%8f%96%e7%9c%8c%e3%80%91%e5%8c%97%e5%b0%be%e5%b1%b1%e5%9f%8e%e3%80%90%e9%b3%a5%e5%8f%96%e5%b8%82%e8%b6%b3%e5%b1%b1%e3%80%91/,北尾山城,,戦国時代か,正木大膳,鳥取県鳥取市足山,35.510024,134.184724
吉山城,https://gosenzo.net/yamajiro/2021/03/28/%e3%80%90%e9%b3%a5%e5%8f%96%e7%9c%8c%e3%80%91%e5%90%89%e5%b1%b1%e5%9f%8e%e3%80%90%e9%b3%a5%e5%8f%96%e5%b8%82%e5%b2%a9%e5%90%89%e3%80%91/,岩吉城,,戦国時代か,山名氏関係　豊臣秀吉陣所,鳥取県鳥取市岩吉,35.509435,134.192650
新山城,https://gosenzo.net/yamajiro/2021/03/28/%e3%80%90%e9%b3%a5%e5%8f%96%e7%9c%8c%e3%80%91%e6%96%b0%e5%b1%b1%e5%9f%8e%e3%80%90%e9%b3%a5%e5%8f%96%e5%b8%82%e5%be%b3%e5%b0%be%e3%80%91/,新山城（にいやまじょう）,,戦国時代（天文年間か）,中村伊豆守,鳥取県鳥取市徳尾,35.497012,134.201061
釣山城,https://gosenzo.net/yamajiro/2021/03/28/%e3%80%90%e9%b3%a5%e5%8f%96%e7%9c%8c%e3%80%91%e9%87%a3%e5%b1%b1%e5%9f%8e%e3%80%90%e9%b3%a5%e5%8f%96%e5%b8%82%e8%8f%96%e8%92%b2%e3%80%91/,釣山城,,戦国時代か,山名氏,鳥取県鳥取市菖蒲,35.483188,134.199935
面影山城,https://gosenzo.net/yamajiro/2021/04/03/%e3%80%90%e9%b3%a5%e5%8f%96%e7%9c%8c%e3%80%91%e9%9d%a2%e5%bd%b1%e5%b1%b1%e5%9f%8e%e3%80%90%e9%b3%a5%e5%8f%96%e5%b8%82%e9%9b%b2%e5%b1%b1%e3%80%91/,面影山城,,戦国時代か,山崎毛利氏,鳥取県鳥取市雲山,35.480470,134.243477
妙見山城,https://gosenzo.net/yamajiro/2021/04/03/%e3%80%90%e9%b3%a5%e5%8f%96%e7%9c%8c%e3%80%91%e5%a6%99%e8%a6%8b%e5%b1%b1%e5%9f%8e%e3%80%90%e9%b3%a5%e5%8f%96%e5%b8%82%e6%9d%89%e5%b4%8e%e3%80%91/,妙見山城,,天正年間（1573〜1592）,秋里玄蕃允,鳥取県鳥取市杉崎,35.465924,134.253978
猪子山城,https://gosenzo.net/yamajiro/2021/04/03/%e3%80%90%e9%b3%a5%e5%8f%96%e7%9c%8c%e3%80%91%e7%8c%aa%e5%ad%90%e5%b1%b1%e5%9f%8e%e3%80%90%e9%b3%a5%e5%8f%96%e5%b8%82%e6%9d%89%e5%b4%8e%e3%80%91/,猪子山城,,永禄年間（一五五八～七〇）,別所弾正,鳥取県鳥取市杉崎,35.463688,134.251978
妙見山城,https://gosenzo.net/yamajiro/2021/04/03/%e3%80%90%e9%b3%a5%e5%8f%96%e7%9c%8c%e3%80%91%e5%a6%99%e8%a6%8b%e5%b1%b1%e5%9f%8e%e3%80%90%e9%b3%a5%e5%8f%96%e5%b8%82%e6%9d%89%e5%b4%8e%e3%80%91/,妙見山城,,天正年間（1573〜1592）,秋里玄蕃允,鳥取県鳥取市杉崎,35.465924,134.253978
猪子山城,https://gosenzo.net/yamajiro/2021/04/03/%e3%80%90%e9%b3%a5%e5%8f%96%e7%9c%8c%e3%80%91%e7%8c%aa%e5%ad%90%e5%b1%b1%e5%9f%8e%e3%80%90%e9%b3%a5%e5%8f%96%e5%b8%82%e6%9d%89%e5%b4%8e%e3%80%91/,猪子山城,,永禄年間（一五五八～七〇）,別所弾正,鳥取県鳥取市杉崎,35.463688,134.251978
山崎城,https://gosenzo.net/yamajiro/2021/04/03/%e3%80%90%e9%b3%a5%e5%8f%96%e7%9c%8c%e3%80%91%e5%b1%b1%e5%b4%8e%e5%9f%8e%e3%80%90%e9%b3%a5%e5%8f%96%e5%b8%82%e5%9b%bd%e5%ba%9c%e7%94%ba%e5%b1%b1%e5%b4%8e%e3%80%91/,山崎城,,天文年間（一五五二～五五）,山崎毛利氏（毛利中将）,鳥取県鳥取市国府町山崎,35.445104,134.339428
私部城,https://gosenzo.net/yamajiro/2021/04/04/%e3%80%90%e9%b3%a5%e5%8f%96%e7%9c%8c%e3%80%91%e7%a7%81%e9%83%a8%e5%9f%8e%e3%80%90%e5%85%ab%e9%a0%ad%e9%83%a1%e5%85%ab%e9%a0%ad%e7%94%ba%e5%b8%82%e5%a0%b4%e3%80%91/,私部城（きさいちじょう）,私都城　市場城,室町時代前期か,毛利氏、山名氏政,鳥取県八頭郡八頭町市場,35.414466,134.315135
鳥取城,https://gosenzo.net/yamajiro/2021/04/04/%e3%80%90%e9%b3%a5%e5%8f%96%e7%9c%8c%e3%80%91%e9%b3%a5%e5%8f%96%e5%9f%8e%e3%80%90%e9%b3%a5%e5%8f%96%e5%b8%82%e6%9d%b1%e7%94%ba%e3%80%91/,鳥取城,久松城、久松山城,天文14年（1545）,"山名誠通,武田高信,山名豊国,吉川経家,宮部継潤,宮部長熙,江戸時代は池田氏",鳥取県鳥取市東町,35.510229,134.240887
太閤ヶ平陣,https://gosenzo.net/yamajiro/2021/04/11/%e3%80%90%e9%b3%a5%e5%8f%96%e7%9c%8c%e3%80%91%e5%a4%aa%e9%96%a4%e3%83%b6%e5%b9%b3%e9%99%a3%e3%80%90%e9%b3%a5%e5%8f%96%e5%b8%82%e5%b8%9d%e9%87%88%e5%b1%b1%e3%80%91/,太閤ヶ平陣,,天正9年（1581）,羽柴秀吉,鳥取県鳥取市帝釈山,35.511196,134.256516
雁金城,https://gosenzo.net/yamajiro/2021/04/11/%e3%80%90%e9%b3%a5%e5%8f%96%e7%9c%8c%e3%80%91%e9%9b%81%e9%87%91%e5%9f%8e%e3%80%90%e9%b3%a5%e5%8f%96%e5%b8%82%e6%b9%af%e6%89%80%e7%94%ba%e3%80%91/,雁金城,,戦国時代（天正9年頃か）,吉川経家　城代,鳥取県鳥取市湯所町,35.513947,134.234698
丸山城（丸山町）,https://gosenzo.net/yamajiro/2021/04/11/%e3%80%90%e9%b3%a5%e5%8f%96%e7%9c%8c%e3%80%91%e4%b8%b8%e5%b1%b1%e5%9f%8e%e3%80%90%e9%b3%a5%e5%8f%96%e5%b8%82%e4%b8%b8%e5%b1%b1%e7%94%ba%e3%80%91/,丸山城,,天正9年（1581）,吉川経家　城代,鳥取県鳥取市丸山町（ただし城域のほとんどは丸山町ではなく浜坂町）,35.522527,134.223899
桐山城,https://gosenzo.net/yamajiro/2021/09/05/%e3%80%90%e9%b3%a5%e5%8f%96%e7%9c%8c%e3%80%91%e6%a1%90%e5%b1%b1%e5%9f%8e%e3%80%90%e5%b2%a9%e7%be%8e%e9%83%a1%e5%b2%a9%e7%be%8e%e7%94%ba%e5%a4%a7%e5%ad%97%e6%b5%a6%e5%af%8c%e3%80%91/,桐山城,"木井ノ山城,磯部ノ城",南北朝時代,塩冶氏、山中鹿之介、垣屋氏,鳥取県岩美郡岩美町大字浦富,35.585996,134.313896
鹿野城,https://gosenzo.net/yamajiro/2021/12/05/%e3%80%90%e9%b3%a5%e5%8f%96%e7%9c%8c%e3%80%91%e9%b9%bf%e9%87%8e%e5%9f%8e%e3%80%90%e9%b3%a5%e5%8f%96%e5%b8%82%e9%b9%bf%e9%87%8e%e7%94%ba%e9%b9%bf%e9%87%8e%e3%80%91/,鹿野城,王舎城、鹿奴城、志加奴城,不明,志加奴氏、山名氏、亀井氏、池田氏,鳥取県鳥取市鹿野町鹿野(鹿野城跡公園),35.457202,134.063795
防己尾城,https://gosenzo.net/yamajiro/2021/12/05/%e3%80%90%e9%b3%a5%e5%8f%96%e7%9c%8c%e3%80%91%e9%98%b2%e5%b7%b1%e5%b0%be%e5%9f%8e%e3%80%90%e9%b3%a5%e5%8f%96%e5%b8%82%e7%a6%8f%e4%ba%95%e3%80%91/,防己尾城（つづらおじょう）,無し,不明だが天正年間(1573〜1592)のはじめの頃に吉岡将監定勝によって築城されたと伝わる。,吉岡将監定勝,鳥取県鳥取市福井,35.505258,134.133140
三津ヶ崎本陣山城,https://gosenzo.net/yamajiro/2021/12/05/%e3%80%90%e9%b3%a5%e5%8f%96%e7%9c%8c%e3%80%91%e4%b8%89%e6%b4%a5%e3%83%b6%e5%b4%8e%e6%9c%ac%e9%99%a3%e5%b1%b1%e5%9f%8e%e3%80%90%e9%b3%a5%e5%8f%96%e5%b8%82%e4%b8%89%e6%b4%a5%e3%80%91/,三津ヶ崎本陣山城,無し,天正9年(1581)羽柴秀吉によって築かれた。,羽柴秀吉,鳥取県鳥取市三津,35.511812,134.134602
丸山城（六反田）,https://gosenzo.net/yamajiro/2021/12/05/%e3%80%90%e9%b3%a5%e5%8f%96%e7%9c%8c%e3%80%91%e4%b8%b8%e5%b1%b1%e5%9f%8e%e3%80%90%e9%b3%a5%e5%8f%96%e7%9c%8c%e9%b3%a5%e5%8f%96%e5%b8%82%e5%85%ad%e5%8f%8d%e7%94%b0%e3%80%91/,丸山城,無し,不明,吉岡春斎入道（吉岡将監定勝の父）,鳥取県鳥取市六反田,35.490859,134.129635
河原城（丸山城）,https://gosenzo.net/yamajiro/2021/12/05/%e3%80%90%e9%b3%a5%e5%8f%96%e7%9c%8c%e3%80%91%e6%b2%b3%e5%8e%9f%e5%9f%8e%e3%80%90%e9%b3%a5%e5%8f%96%e5%b8%82%e6%b2%b3%e5%8e%9f%e7%94%ba%e3%80%91/,河原城（平成になり近代模擬城郭を建設）,丸山城（戦国時代は丸山城であった）,永禄年間か　天文9年（1581）には豊臣秀吉の陣城として改修された可能性もある。,豊臣秀吉の陣城の頃もあった。,鳥取県鳥取市河原町,35.403851,134.199461
橋本城,https://gosenzo.net/yamajiro/2021/12/05/%e3%80%90%e9%b3%a5%e5%8f%96%e7%9c%8c%e3%80%91%e6%a9%8b%e6%9c%ac%e5%9f%8e%e3%80%90%e9%b3%a5%e5%8f%96%e5%b8%82%e6%a9%8b%e6%9c%ac%e3%80%91/,橋本城,無し,永禄年間（1558～70）頃か,橋本将監（山名家臣）、広岡甲斐守国宣（武田家臣）、綾部河内守（毛利家臣）,鳥取県鳥取市橋本,35.453284,134.225736
鵯尾城,https://gosenzo.net/yamajiro/2021/12/11/%e3%80%90%e9%b3%a5%e5%8f%96%e7%9c%8c%e3%80%91%e9%b5%af%e5%b0%be%e5%9f%8e%e3%80%90%e9%b3%a5%e5%8f%96%e5%b8%82%e7%8e%89%e6%b4%a5%e3%80%91/,鵯尾城（ひよどりおじょう）,無し,天文年間(1532〜1555)頃に武田高信によって築かれたと伝わる。,武田高信,鳥取県鳥取市玉津,35.436684,134.183784
二上山城,https://gosenzo.net/yamajiro/2021/12/11/%e3%80%90%e9%b3%a5%e5%8f%96%e7%9c%8c%e3%80%91%e4%ba%8c%e4%b8%8a%e5%b1%b1%e5%9f%8e%e3%80%90%e5%b2%a9%e7%be%8e%e9%83%a1%e5%b2%a9%e7%be%8e%e7%94%ba%e5%a4%a7%e5%ad%97%e5%b2%a9%e5%b8%b8%e3%80%91/,二上山城（ふたがみやまじょう）,岩常城,文和年間（1352～55）,山名時氏によって築城されたと伝わる。,鳥取県岩美郡岩美町大字岩常,35.540379,134.319103
道竹城,https://gosenzo.net/yamajiro/2021/12/11/%e3%80%90%e9%b3%a5%e5%8f%96%e7%9c%8c%e3%80%91%e9%81%93%e7%ab%b9%e5%9f%8e%e3%80%90%e5%b2%a9%e7%be%8e%e9%83%a1%e5%b2%a9%e7%be%8e%e7%94%ba%e5%a4%a7%e5%ad%97%e6%96%b0%e4%ba%95%e3%80%91/,道竹城,無し,天文年間（1532～55）末期,三上兵庫頭,鳥取県岩美郡岩美町大字新井,35.573917,134.325097
勝山城,https://gosenzo.net/yamajiro/2021/12/11/%e3%80%90%e9%b3%a5%e5%8f%96%e7%9c%8c%e3%80%91%e5%8b%9d%e5%b1%b1%e5%9f%8e%e3%80%90%e9%b3%a5%e5%8f%96%e5%b8%82%e6%b0%97%e9%ab%98%e7%94%ba%e5%8b%9d%e8%a6%8b%e3%80%91/,勝山城,無し。,興国年間（1340～46）,首藤豊後守　尼子正久？,鳥取県鳥取市気高町勝見,35.504425,134.049423
唐櫃城,https://gosenzo.net/yamajiro/2021/12/11/%e3%80%90%e9%b3%a5%e5%8f%96%e7%9c%8c%e3%80%91%e5%94%90%e6%ab%83%e5%9f%8e%e3%80%90%e5%85%ab%e9%a0%ad%e9%83%a1%e6%99%ba%e9%a0%ad%e7%94%ba%e6%9c%a8%e5%8e%9f%e3%80%91/,唐櫃城（からうとじょう）,櫃ケ城、かろうとノ城,不明,木原駿河守元信,鳥取県八頭郡智頭町木原,35.2392242,134.2251547
若桜鬼ヶ城,https://gosenzo.net/yamajiro/2021/12/12/%e3%80%90%e9%b3%a5%e5%8f%96%e7%9c%8c%e3%80%91%e8%8b%a5%e6%a1%9c%e9%ac%bc%e3%83%b6%e5%9f%8e%e3%80%90%e5%85%ab%e9%a0%ad%e9%83%a1%e8%8b%a5%e6%a1%9c%e7%94%ba%e5%a4%a7%e5%ad%97%e8%8b%a5%e6%a1%9c%e3%80%91/,若桜鬼ヶ城,鬼ヶ城、若桜城,建仁年間（1200～04）,矢部氏、尼子氏、毛利氏、山崎氏,鳥取県八頭郡若桜町大字若桜,35.336633,134.397992
打吹城,https://gosenzo.net/yamajiro/2021/12/12/%e3%80%90%e9%b3%a5%e5%8f%96%e7%9c%8c%e3%80%91%e6%89%93%e5%90%b9%e5%9f%8e%e3%80%90%e5%80%89%e5%90%89%e5%b8%82%e6%89%93%e5%90%b9%e5%b1%b1%e3%80%91/,打吹城,倉吉城,延文年間（1356～61）,山名氏,鳥取県倉吉市打吹山,35.426451,133.822030
田内城,https://gosenzo.net/yamajiro/2021/12/12/%e3%80%90%e9%b3%a5%e5%8f%96%e7%9c%8c%e3%80%91%e7%94%b0%e5%86%85%e5%9f%8e%e3%80%90%e5%80%89%e5%90%89%e5%b8%82%e5%b7%8c%e5%9f%8e%e3%80%91/,田内城,無し,興国年間(1340～46)に伯耆国守護山名時氏によって築かれたと伝わる。,山名時氏,鳥取県倉吉市巌城,35.442774,133.838073
羽衣石城,https://gosenzo.net/yamajiro/2021/12/12/%e3%80%90%e9%b3%a5%e5%8f%96%e7%9c%8c%e3%80%91%e7%be%bd%e8%a1%a3%e7%9f%b3%e5%9f%8e%e3%80%90%e6%9d%b1%e4%bc%af%e9%83%a1%e6%b9%af%e6%a2%a8%e6%b5%9c%e7%94%ba%e5%a4%a7%e5%ad%97%e7%be%bd%e8%a1%a3%e7%9f%b3/,羽衣石城（うえしじょう）,無し,不明（南北朝の頃か）,南条氏,鳥取県東伯郡湯梨浜町大字羽衣石,35.437189,133.898537
岩倉城,https://gosenzo.net/yamajiro/2021/12/18/%e3%80%90%e9%b3%a5%e5%8f%96%e7%9c%8c%e3%80%91%e5%b2%a9%e5%80%89%e5%9f%8e%e3%80%90%e5%80%89%e5%90%89%e5%b8%82%e5%b2%a9%e5%80%89%e3%80%91/,岩倉城,小鴨城,寿永・元暦年間（1182～85）,小鴨氏,鳥取県倉吉市岩倉,35.384407,133.810569
松崎城,https://gosenzo.net/yamajiro/2021/12/18/%e3%80%90%e9%b3%a5%e5%8f%96%e7%9c%8c%e3%80%91%e6%9d%be%e5%b4%8e%e5%9f%8e%e3%80%90%e6%9d%b1%e4%bc%af%e9%83%a1%e6%b9%af%e6%a2%a8%e6%b5%9c%e7%94%ba%e6%9d%be%e5%b4%8e%e3%80%91/,松崎城,松ケ崎城、亀形ヶ鼻城,不明,小森氏、進下総、河毛備後守,鳥取県東伯郡湯梨浜町松崎（桜小学校内）,35.476579,133.904029
